,Unnamed: 0,Nro Licitación Pública,Id Convenio Marco,Convenio Marco,CodigoOC,NombreOC,Fecha EnvÃ­o OC,EstadoOC,Proviene de Gran Compra,idGranCompra,EspecificaciÃ³n del Comprador,IDProductoCM,Producto,Nombre Producto ONU,Tipo de Producto,Marca,Modelo,Precio Unitario,Cantidad,TotaLÃ­nea(Neto),Moneda,Monto Total OC Neto,Descuento Global OC,Cargos Adicionales OC,Subtotal OC,Impuestos,Monto Total OC,Rut Unidad de Compra,Unidad de Compra,RazÃ³n Social Comprador,DirecciÃ³n Unidad Compra,Comuna Unidad Compra,RegiÃ³n Unidad de Compra,InstituciÃ³n,Sector,Rut Proveedor,Nombre Proveedor Sucursal,Nombre Empresa,Comuna del Proveedor,RegiÃ³n del Proveedor,Observaciones,Forma de Pago,Orgcode_Comprador,Entcode_Comprador,Orgcode_Proveedor,Entcode_Proveedor
40701,40701,2239-5-LR21,5800296.0,CM AdquisiciÃ³n de VehÃ­culos SUV y Camionetas (Magento),2564-270-CM21,Orden de Compra: 2564-270-CM21,2021-10-20,Enviada a Proveedor,No,,(1840093) CAMIONETAS MAXUS T60 T60 DX 4X4  MACROZONA CENTRO,1840093,CAMIONETAS MAXUS T60 T60 DX 4X4  MACROZONA CENTRO,Camiones ligeros o vehÃ­culos de deporte de utilidad,CAMIONETA,MAXUS,T60 T60 DX 4X4,14090600,1.0,14090600,CLP,14090600,0,0,14090600,2677214,16767814,69.090.700-3,ADQUISICIONES,I MUNICIPALIDAD DE CHEPICA,CALLE  18 de septiembre s/n COMUNA DE CHEPICA,ChÃ©pica,Lib. Gral. Bdo. O'Higgins,I MUNICIPALIDAD DE CHEPICA,Municipalidades,96.889.440-4,Mediterraneo Automotores SA,Mediterraneo Automotores S.A.,,,Orden de Compra codigo: 2564-270-CM21 dirigida a MEDITERRANEO AUTOMOTORES S A,30 dÃ­as contra la recepciÃ³n conforme de la factura,3555.0,92414.0,824156,27979
53062,53062,2239-5-LR21,5800296.0,CM AdquisiciÃ³n de VehÃ­culos SUV y Camionetas (Magento),4360-75-CM21,Camioneta maxus d/c 4x4,2021-12-24,Enviada a Proveedor,No,,(1840095) CAMIONETAS MAXUS T60 T60 DX 4X4  MACROZONA SUR,1840095,CAMIONETAS MAXUS T60 T60 DX 4X4  MACROZONA SUR,Camiones ligeros o vehÃ­culos de deporte de utilidad,CAMIONETA,MAXUS,T60 T60 DX 4X4,14582400,1.0,14582400,CLP,14582400,0,0,14582400,2770656,17353056,69.170.700-8,Cementerios,I MUNICIPALIDAD DE NACIMIENTO,Villa Alegre 1370,Nacimiento,BÃ­o-BÃ­o,Ilustre Municipalidad de Nacimiento,Municipalidades,96.889.440-4,Mediterraneo Automotores SA,Mediterraneo Automotores S.A.,,,Orden de Compra codigo: 4360-75-CM21 dirigida a MEDITERRANEO AUTOMOTORES S A,30 dÃ­as contra la recepciÃ³n conforme de la factura,5277.0,135561.0,824156,27979
53719,53719,2239-5-LR21,5800296.0,CM AdquisiciÃ³n de VehÃ­culos SUV y Camionetas (Magento),3140-819-CM21,"Orden de Compra: 3140-819-CM21, ADQUISICIÃN DE CAMIONETA",2021-12-21,Enviada a Proveedor,No,,(1848052) CAMIONETA NISSAN NAVARA DC SE 2.3D MT 4WD MACROZONA SUR 2022,1848052,CAMIONETA NISSAN NAVARA DC SE 2.3D MT 4WD MACROZONA SUR 2022,Camiones ligeros o vehÃ­culos de deporte de utilidad,CAMIONETA,NISSAN,NAVARA DC SE 2.3D MT 4WD,19534588,1.0,19534588,CLP,19534588,0,0,19534588,"3711571,72","23246159,72",69.201.100-7,Departamento De Salud,I MUNICIPALIDAD DE LAGO RANCO,calle ConcepciÃ³n NÂº655,Lago Ranco,Los RÃ­os,I MUNICIPALIDAD DE LAGO RANCO,Municipalidades,91.502.000-3,Salinas y Fabres S.A.,SALINAS Y FABRES SOCIEDAD ANONIMA,,,"Orden de Compra codigo: 3140-819-CM21 dirigida a SALINAS Y FABRES SOCIEDAD ANONIMA, ADQUISICIÃN DE CAMIONETA PARA EL DEPARTAMENTO DE SALUD M. LAGO RANCO, SEGÃN NOTA DE PEDIDO NÂ° 23 DEL 21/12/2021, SOLICITA  RR.FF. DEL DEPTO. SALUD.",30 dÃ­as contra la recepciÃ³n conforme de la factura,4061.0,113735.0,26569,26778
63833,63833,2239-5-LR21,5800296.0,CM AdquisiciÃ³n de VehÃ­culos SUV y Camionetas (Magento),1084170-110-CM21,Camioneta para Uso del SLEP,2021-12-28,RecepciÃ³n Conforme,No,,(1840060) CAMIONETAS MAHINDRA PIK UP PICK UP REFRESH DC 4X2 MT FULL  MACROZONA METROPOLITANA,1840060,CAMIONETAS MAHINDRA PIK UP PICK UP REFRESH DC 4X2 MT FULL  MACROZONA METROPOLITANA,Camiones ligeros o vehÃ­culos de deporte de utilidad,CAMIONETA,MAHINDRA,PIK UP PICK UP REFRESH DC 4X2 MT FULL,12398600,1.0,12398600,CLP,12398600,0,0,12398600,2355734,14754334,62.000.650-5,SLEP Gabriela Mistral  P01,SERVICIO LOCAL DE EDUCACION PUBLICA DE GABRIELA MISTRAL,Santa Rosa NÂ°9412,La Granja,Metropolitana,SERVICIO LOCAL DE EDUCACION PUBLICA DE GABRIELA MISTRAL,"Gob. Central, Universidades",84.807.200-1,BRUNO FRITSCH S.A.,BRUNO FRITSCH S.A. ,,,"1.	Aceptar la OC y facturar despuÃ©s de entregar los productos y/o servicios
2.	Incluir el nÃºmero de OC en el campo cÃ³digo 801 de la factura
3.	Debe enviar la factura en formato .xml obligatoriamente a dipresrecepcion@custodium.com y  sii.slepgm@educacionp",30 dÃ­as contra la recepciÃ³n conforme de la factura,1084170.0,1675231.0,24507,24823
64902,64902,2239-5-LR21,5800296.0,CM AdquisiciÃ³n de VehÃ­culos SUV y Camionetas (Magento),4236-722-CM21,Orden de Compra: 4236-722-CM21,2021-12-29,Aceptada,No,,(1848008) CAMIONETA TOYOTA HILUX 4X4 2.4 MT DX MACROZONA CENTRO 2022,1848008,CAMIONETA TOYOTA HILUX 4X4 2.4 MT DX MACROZONA CENTRO 2022,Camiones ligeros o vehÃ­culos de deporte de utilidad,CAMIONETA,TOYOTA,HILUX 4X4 2.4 MT DX,20966723,1.0,20966723,CLP,20966723,0,0,20966723,"3983677,37","24950400,37",69.160.200-1,DirecciÃ³n de Adm. y Finanzas,I MUNICIPALIDAD DE CURANILAHUE,Avda. Arturo Prat 801,Curanilahue,BÃ­o-BÃ­o,I MUNICIPALIDAD DE CURANILAHUE,Municipalidades,86.519.000-K,Maritano y Ebensperger Ltda.,Maritano y Ebensperger Ltda.,,,Orden de Compra codigo: 4236-722-CM21 dirigida a MARITANO Y EBENSPERGER LTDA,30 dÃ­as contra la recepciÃ³n conforme de la factura,5154.0,127036.0,62896,61164
69149,69149,2239-5-LR21,5800296.0,CM AdquisiciÃ³n de VehÃ­culos SUV y Camionetas (Magento),1493-991-CM21,Orden de Compra: 1493-991-CM21 PARA ALCALDIA Y DEPTO VIVIENDA,2021-12-30,Aceptada,No,,(1848008) CAMIONETA TOYOTA HILUX 4X4 2.4 MT DX MACROZONA CENTRO 2022,1848008,CAMIONETA TOYOTA HILUX 4X4 2.4 MT DX MACROZONA CENTRO 2022,Camiones ligeros o vehÃ­culos de deporte de utilidad,CAMIONETA,TOYOTA,HILUX 4X4 2.4 MT DX,20966723,2.0,41933446,CLP,41933446,0,0,41933446,"7967354,74","49900800,74",69.140.800-0,I MUNICIPALIDAD DE SAN NICOLAS,I MUNICIPALIDAD DE SAN NICOLAS,Arturo Prat 202 - San NicolÃ¡s,San NicolÃ¡s,Ãuble,Ilustre Municipalidad de San NicolÃ¡s,Municipalidades,86.519.000-K,Maritano y Ebensperger Ltda.,Maritano y Ebensperger Ltda.,,,Orden de Compra codigo: 1493-991-CM21 dirigida a MARITANO Y EBENSPERGER LTDA,30 dÃ­as contra la recepciÃ³n conforme de la factura,2489.0,7158.0,62896,61164
70293,70293,2239-5-LR21,5800296.0,CM AdquisiciÃ³n de VehÃ­culos SUV y Camionetas (Magento),5538-983-CM21,SUV NISSAN X-TRAIL SENSE 2ROW 4X4 G2 2022,2021-12-30,Enviada a Proveedor,No,,(1848170) SUV NISSAN X-TRAIL SENSE 2ROW 4X4 G2 MACROZONA CENTRO 2022,1848170,SUV NISSAN X-TRAIL SENSE 2ROW 4X4 G2 MACROZONA CENTRO 2022,AutomÃ³viles,SUV,NISSAN,X-TRAIL SENSE 2ROW 4X4 G2,14067704,1.0,14067704,CLP,14067704,0,0,14067704,"2672863,76","16740567,76",70.072.600-2,Junji - XIV RegiÃ³n - Los RÃ­os,JUNTA NACIONAL DE JARDINES         INFANTILES,"ARAUCO 371-373, Valdivia",Valdivia,Los RÃ­os,Junta Nacional de Jardines Infantiles - JUNJI,"Gob. Central, Universidades",91.502.000-3,Salinas y Fabres S.A.,SALINAS Y FABRES SOCIEDAD ANONIMA,,,Orden de Compra codigo: 5538-983-CM21 dirigida a SALINAS Y FABRES SOCIEDAD ANONIMA,30 dÃ­as contra la recepciÃ³n conforme de la factura,6451.0,6928.0,26569,26778
53133,53133,2239-5-LR21,5800296.0,CM AdquisiciÃ³n de VehÃ­culos SUV y Camionetas (Magento),3030-18-CM22,VEHICULOS SUV DEPTO.SALUD,2022-01-24,Aceptada,No,,(1848164) SUV NISSAN X-TRAIL SENSE 2ROW 4X2 G2 MACROZONA CENTRO 2022,1848164,SUV NISSAN X-TRAIL SENSE 2ROW 4X2 G2 MACROZONA CENTRO 2022,AutomÃ³viles,SUV,NISSAN,X-TRAIL SENSE 2ROW 4X2 G2,15436793,2.0,30873586,CLP,30873586,0,0,30873586,"5865981,34","36739567,34",69.130.800-6,Dpto. de Salud,Ilustre Municipalidad de Retiro,"ErrÃ¡zuriz NÂº 240, Oficina de Adquisiciones, 2Â°  piso",Retiro,Maule,Ilustre Municipalidad de Retiro,Municipalidades,91.502.000-3,Salinas y Fabres S.A.,SALINAS Y FABRES SOCIEDAD ANONIMA,,,VEHICULOS PARA DEPTO.SALUD DE RETIRO.,30 dÃ­as contra la recepciÃ³n conforme de la factura,3978.0,113252.0,26569,26778
62034,62034,2239-5-LR21,5800296.0,CM AdquisiciÃ³n de VehÃ­culos SUV y Camionetas (Magento),2885-22-CM22,Orden de Compra: 2885-22-CM22,2022-01-31,Enviada a Proveedor,No,,(1848100) CAMIONETA MITSUBISHI L-200 KATANA CRM 4X4 MACROZONA SUR 2022,1848100,CAMIONETA MITSUBISHI L-200 KATANA CRM 4X4 MACROZONA SUR 2022,Camiones ligeros o vehÃ­culos de deporte de utilidad,CAMIONETA,MITSUBISHI,L-200 KATANA CRM 4X4,20150400,1.0,20150400,CLP,20150400,0,0,20150400,3828576,23978976,69.210.600-8,DIRECCION DE ADMINISTRACION Y FINANZAS,I MUNICIPALIDAD DE PUYEHUE,ALCALDE TOMAS GLAVES WILSON NÂ° 2,Puyehue,Los Lagos,I MUNICIPALIDAD DE PUYEHUE,Municipalidades,91.502.000-3,Salinas y Fabres S.A.,SALINAS Y FABRES SOCIEDAD ANONIMA,,,Orden de Compra codigo: 2885-22-CM22 dirigida a SALINAS Y FABRES SOCIEDAD ANONIMA,30 dÃ­as contra la recepciÃ³n conforme de la factura,3871.0,105334.0,26569,26778
9529,9529,2239-5-LR21,5800296.0,CM AdquisiciÃ³n de VehÃ­culos SUV y Camionetas (Magento),2986-60-CM22,Orden de Compra: 2986-60-CM22,2022-02-02,Enviada a Proveedor,No,,(1848047) CAMIONETA NISSAN NAVARA DC SE 2.3D MT MACROZONA AUSTRAL 2022,1848047,CAMIONETA NISSAN NAVARA DC SE 2.3D MT MACROZONA AUSTRAL 2022,Camiones ligeros o vehÃ­culos de deporte de utilidad,CAMIONETA,NISSAN,NAVARA DC SE 2.3D MT,19849977,1.0,19849977,CLP,19849977,0,0,19849977,"3771495,63","23621472,63",69.200.600-3,Unidad de Salud,I MUNICIPALIDAD DE LOS LAGOS,SAN MARTIN NÂ° 1,Los Lagos,Los RÃ­os,I MUNICIPALIDAD DE LOS LAGOS,Municipalidades,91.502.000-3,Salinas y Fabres S.A.,SALINAS Y FABRES SOCIEDAD ANONIMA,,,"Orden de Compra codigo: 2986-60-CM22 dirigida a SALINAS Y FABRES SOCIEDAD ANONIMA.
garantÃ­a son 3 aÃ±os o 100.000 kms. ( lo primero que ocurra ) NO considera Mantenciones gratuitas.

",30 dÃ­as contra la recepciÃ³n conforme de la factura,3949.0,7159.0,26569,26778
